Date,Client Computing,Foundry Services,Data Center,Network and Edge,Other,Accelerated Computing,Internet of Things,Mobileye
Q4/2024,30.25,17.57,12.72,5.79,1.55,0,0,0
Q3/2024,31.08,13.36,13.32,5.64,0.681,0,0,1.8
Q2/2024,31.64,9.27,13.84,5.59,0.725,0,0,1.85
Q1/2024,31.04,5.2,14.84,5.69,0.675,0,0,1.86
Q4/2023,29.28,5.67,14.7,5.81,0.647,0,0,2.08
Q3/2023,27.06,5.69,15.02,6.4,0.499,0,0,2.01
Q2/2023,27.32,5.55,15.41,7.22,0.38,0,0,1.93
Q1/2023,28.18,5.44,16.06,8.15,0.295,0,0,1.93
Q4/2022,31.71,0.895,19.2,8.87,0.196,0.837,0,1.87
Q3/2022,35.22,0.576,22.2,6.81,1.84,0.59,0,1.66
Q2/2022,36.76,0.405,24.49,4.55,3.44,0.405,0,1.54
Q1/2022,39.2,0.283,26.29,2.21,5.16,0.219,0,1.4
Q4/2021,40.51,0,25.82,0,7.31,0,4,1.39
Q3/2021,41.32,0,24.6,0,7.47,0,3.72,1.36
Q2/2021,41.5,0,24.01,0,7.48,0,3.35,1.27
Q1/2021,40.89,0,24.67,0,8.02,0,3.04,1.09
Q4/2020,40.06,0,26.1,0,7.73,0,3.01,0.967
Q3/2020,39.13,0,27.23,0,7.72,0,3.15,0.874
Q2/2020,38.99,0,27.71,0,7.91,0,3.48,0.869
Q1/2020,38.34,0,25.57,0,7.11,0,3.79,0.924
